Symbol,Company,Industry
SHO-F,Sunstone Hotel Investors Inc,Equity Real Estate Investment Trusts (REITs)
SIII,Strategic Internet Investments Inc,Real Estate Management & Development
SIR,Select Income REIT,Equity Real Estate Investment Trusts (REITs)
SIRC,Solar Integrated Roofing Corp,Real Estate Management & Development
SKT,Tanger Factory Outlet Centers Inc.,Equity Real Estate Investment Trusts (REITs)
SLG,SL Green Realty Corp,Equity Real Estate Investment Trusts (REITs)
SLG-I,SL Green Realty Corp,Equity Real Estate Investment Trusts (REITs)
SMMCF,SUMMIT INDUSTRIAL INCM REIT,Equity Real Estate Investment Trusts (REITs)
SNH,Senior Housing Properties Trust,Equity Real Estate Investment Trusts (REITs)
SNR,New Senior Investment Group Inc,Equity Real Estate Investment Trusts (REITs)
SOHO,Sotherly Hotels Inc,Equity Real Estate Investment Trusts (REITs)
SOHOB,Sotherly Hotels Inc,Equity Real Estate Investment Trusts (REITs)
SOHOO,Sotherly Hotels Inc,Equity Real Estate Investment Trusts (REITs)
SPG,Simon Property Group Inc,Equity Real Estate Investment Trusts (REITs)
SPG-J,Simon Property Group Inc,Equity Real Estate Investment Trusts (REITs)
SRC,Spirit Realty Capital Inc,Equity Real Estate Investment Trusts (REITs)
SRC-A,Spirit Realty Capital Inc,Equity Real Estate Investment Trusts (REITs)
SRG,Seritage Growth Properties,Equity Real Estate Investment Trusts (REITs)
SRG-A,Seritage Growth Properties,Equity Real Estate Investment Trusts (REITs)
SRRE,"Sunrise Real Estate Group, Inc.",Real Estate Management & Development
STAG,Stag Industrial Inc,Equity Real Estate Investment Trusts (REITs)
STAG-B,STAG Industrial Inc,Equity Real Estate Investment Trusts (REITs)
STAG-C,STAG Industrial Inc,Equity Real Estate Investment Trusts (REITs)
STAR,istar Inc,Equity Real Estate Investment Trusts (REITs)
STAR-D,iStar Inc,Equity Real Estate Investment Trusts (REITs)
STAR-G,iStar Inc,Equity Real Estate Investment Trusts (REITs)
STAR-I,iStar Inc,Equity Real Estate Investment Trusts (REITs)
STOR,Store Capital Corp,Equity Real Estate Investment Trusts (REITs)
STRS,Stratus Properties Inc,Real Estate Management & Development
SUHJY,Sun Hung Kai Properties Limited (ADR),Real Estate Management & Development
SUI,Sun Communities Inc,Equity Real Estate Investment Trusts (REITs)
SVSA,"SunVesta, Inc.",Real Estate Management & Development
TCI,Transcontinental Realty Investors Inc,Real Estate Management & Development
TCNGF,TRICON CAPITAL GROUP INC,Real Estate Management & Development
TCO,"Taubman Centers, Inc.",Equity Real Estate Investment Trusts (REITs)
TCO-J,Taubman Centers Inc,Equity Real Estate Investment Trusts (REITs)
TCO-K,Taubman Centers Inc,Equity Real Estate Investment Trusts (REITs)
TIER,TIER REIT Inc,Equity Real Estate Investment Trusts (REITs)
TKCI,TurnKey Capital Inc,Equity Real Estate Investment Trusts (REITs)
TPHS,Trinity Place Holdings Inc,Real Estate Management & Development
TRC,Tejon Ranch Company,Real Estate Management & Development
TRNO,Terreno Realty Corporation,Equity Real Estate Investment Trusts (REITs)
TUXS,Tuxis Corp.,Real Estate Management & Development
