Symbol,Company,Industry
FCF,First Commonwealth Financial,Banks
FCFS,FirstCash Inc,Consumer Finance
FCMGF,FIRM CAPITAL MORTGAGE INV CP,Thrifts & Mortgage Finance
FCNCA,First Citizens BancShares Inc.,Banks
FDBC,Fidelity D&D Bancorp,Banks
FDEF,First Defiance Financial,Thrifts & Mortgage Finance
FDHC,Fidelity Holding Corp,Capital Markets
FDS,FactSet Research Systems Inc.,Capital Markets
FDUS,Fidus Investment Corp,Capital Markets
FETM,Fentura Financial Inc.,Banks
FFBC,First Financial Bancorp,Banks
FFDF,FFD Financial Corporation,Banks
FFG,FBL Financial Group,Insurance
FFIC,Flushing Financial Corporation,Banks
FFIN,First Financial Bankshares Inc,Banks
FFKT,Farmers Capital Bank Corp,Banks
FFNM,First Federal of Northrn Mchgn Bncrp Inc,Thrifts & Mortgage Finance
FFNW,"FIRST FINANCIAL NORTHWEST, INC.",Banks
FFWM,First Foundation Inc,Banks
FGBI,"First Guaranty Bancshares, Inc.",Banks
FHB,First Hawaiian Inc,Banks
FHN,First Horizon National Corp,Banks
FIBK,First Interstate Bancsystem Inc,Banks
FII,Federated Investors Inc,Capital Markets
FIRT,First BancTrust Corporation,Thrifts & Mortgage Finance
FISI,"Financial Institutions, Inc.",Banks
FITB,Fifth Third Bancorp,Banks
FIZN,First Citizens BancShares Inc,Banks
FKYS,First Keystone Corp.,Banks
FLIC,First of Long Island Corp,Banks
FMAO,Farmers & Merchants Bancorp Inc,Banks
FMBH,"First Mid-Illinois Bancshares, Inc.",Banks
FMBI,First Midwest Bancorp Inc,Banks
FMBL,Farmers And Merchants Bank of Long Beach,Banks
FMBM,F&M Bank Corp,Banks
FMCB,Farmers & Merchants Bancorp,Banks
FMCC,Federal Home Loan Mortgage Corp,Thrifts & Mortgage Finance
FMNB,Farmers National Banc Corp,Banks
FNB,F.N.B. Corp,Banks
FNBCQ,First NBC Bank Holding Company,Banks
FNBG,FNB Bancorp,Banks
FNCB,FNCB Bancorp Inc,Banks
FNF,Fidelity National Financial Inc,Insurance
FNFI,"First Niles Financial, Inc.",Thrifts & Mortgage Finance
FNGN,Financial Engines Inc,Capital Markets
FNHC,Federated National Holding Co,Insurance
FNHM,FNBH Bancorp Inc,Banks
FNINF,49 NORTH RESOURCES INC,Capital Markets
FNLC,First Bancorp Inc,Banks
FNLIF,FIRST NATIONAL FINL CORP,Thrifts & Mortgage Finance
FNMA,Federal National Mortgage Association,Thrifts & Mortgage Finance
FNRN,First Northern Community Bancorp,Banks
FNWB,First Northwest BanCorp,Banks
FOTB,First Ottawa Bankshares,Banks
FPAFY,First Pacific Company Ltd. (ADR),Diversified Financial Services
FPAY,FlexShopper Inc,Diversified Financial Services
FPWM,1st Prestige Wealth Management,Capital Markets
FRAF,Franklin Financial Services Corp,Banks
FRBA,First Bank,Banks
FRBK,"Republic First Bancorp, Inc.",Banks
FRC,First Republic Bank,Banks
FRFC,First Robinson Financial,Thrifts & Mortgage Finance
FRFHF,Fairfax Financial Holdings Ltd,Insurance
FRHC,Freedom Holding Corp,Capital Markets
FRME,First Merchants Corporation,Banks
FRTD,Fortitude Group Inc,Capital Markets
FSAM,Fifth Street Asset Management Inc,Capital Markets
FSB,Franklin Financial Network Inc,Banks
FSBC,FSB Community Bankshares Inc,Thrifts & Mortgage Finance
FSBW,FS Bancorp Inc,Thrifts & Mortgage Finance
FSFG,First Savings Financial Group Inc,Banks
FSIC,FS Investment Corporation,Capital Markets
FSTF,First State Financial Corporation,Banks
FTGI,Finotec Group Inc,Capital Markets
FULT,Fulton Financial Corp,Banks
FUNC,First United Corp,Banks
FUSB,First US Bancshares Inc,Banks
FWVB,"First West Virginia Bancorp, Inc.",Banks
FXNC,First National Corporation,Banks
GABA,"Georgia Bancshares, Inc.",Banks
GABC,"German American Bancorp., Inc.",Banks
GAIN,Gladstone Investment Corporation,Capital Markets
GANS,"Gainsco, Inc.",Insurance
GARS,Garrison Capital Inc,Capital Markets
GBCI,"Glacier Bancorp, Inc.",Banks
GBDC,Golub Capital BDC Inc,Capital Markets
GBL,Gamco Investors Inc,Capital Markets
GBLI,Global Indemnity Ltd,Insurance
GBNK,Guaranty Bancorp,Banks
GCAAF,GUARDIAN CAP GRP LTD  -CL A,Capital Markets
GCAP,Gain Capital Holdings Inc,Capital Markets
GCBC,Greene County Bancorp,Thrifts & Mortgage Finance
GDOT,Green Dot Corporation,Consumer Finance
GEC,Great Elm Capital Group Inc,Capital Markets
GECC,Great Elm Capital Corp,Capital Markets
GFCJ,Guaranty Financial Corporation,Banks
GFED,"Guaranty Federal Bancshares, Inc.",Thrifts & Mortgage Finance
GGAL,Grupo Financiero Galicia S.A. (ADR),Banks
GHL,"Greenhill & Co., Inc.",Capital Markets
GLAD,Gladstone Capital Corporation,Capital Markets
GLBR,Global Brokerage Inc,Capital Markets
GLBZ,Glen Burnie Bancorp,Banks
GLRE,"Greenlight Capital Re, Ltd.",Insurance
GMICF,GENWORTH MI CANADA INC,Thrifts & Mortgage Finance
GMNI,Gemini Group Global Corp,Capital Markets
GNBC,Green Bancorp Inc,Banks
GNTY,"Guaranty Bancshares, Inc.",Banks
GNW,Genworth Financial Inc,Insurance
GOVB,"Gouverneur Bancorp, Inc.",Thrifts & Mortgage Finance
GROW,"U.S. Global Investors, Inc.",Capital Markets
GRRB,GrandSouth Bancorporation,Banks
GS,Goldman Sachs Group Inc,Capital Markets
GSBC,"Great Southern Bancorp, Inc.",Banks
GSBD,Goldman Sachs BDC Inc,Capital Markets
GSVC,GSV Capital Corp,Capital Markets
GTPS,Great American Bancorp,Thrifts & Mortgage Finance
GVFG,Gerova Financial Group Ltd,Insurance
GWB,Great Western Bancorp Inc,Banks
GWGH,GWG Holdings Inc,Diversified Financial Services
HAFC,Hanmi Financial Corp,Banks
HALL,"Hallmark Financial Services, Inc.",Insurance
HALN,Halo Companies Inc,Capital Markets
HARL,Harleysville Financial Corp,Thrifts & Mortgage Finance
HASI,Hannon Armstrong Sustnbl Infrstr Cap Inc,Mortgage Real Estate Investment Trusts (REITs)
HBAN,Huntington Bancshares Incorporated,Banks
HBCP,"Home Bancorp, Inc.",Thrifts & Mortgage Finance
HBHC,Hancock Holding Company,Banks
HBIA,Hills Bancorporation,Banks
HBK,Hamilton Bancorp Inc,Thrifts & Mortgage Finance
HBMD,Howard Bancorp Inc,Banks
HBNC,Horizon Bancorp,Banks
HBSI,Highlands Bancshares Inc (West Virg),Banks
HCAP,Harvest Capital Credit Corp,Capital Markets
HCBP,Harvest Community Bank,Banks
HCFL,Home City Financial Corp.,Thrifts & Mortgage Finance
HCI,HCI Group Inc,Insurance
HDB,HDFC Bank Limited (ADR),Banks
HFBC,"HopFed Bancorp, Inc",Thrifts & Mortgage Finance
HFBL,Home Federal Bancorp Inc of Louisiana,Thrifts & Mortgage Finance
HFWA,Heritage Financial Corp,Banks
HGBL,Heritage Global Inc,Capital Markets
HIFS,Hingham Institution for Savings,Thrifts & Mortgage Finance
HIG,Hartford Financial Services Group Inc,Insurance
HIIQ,Health Insurance Innovations Inc,Insurance
